NOME,PRODUTTORE,ACQUISTO,VENDITA,Q.tà,MAGAZZINO
1,Coos,"€16,50","€21,45",0,"€0,00"
!2y ASOLO,Nikka,"€77,80","€101,14",0,"€0,00"
"""IN"" INVITO BARBERA E DOLCETTO",Mazzetti,"€19,00","€24,70",0,"€0,00"
"""IN"" INVITO BRACCHETTO E DOLCETTO",Mazzetti,"€19,00","€24,70",0,"€0,00"
"""IN"" INVITO NEBBIOLO",Mazzetti,"€20,00","€26,00",0,"€0,00"
\,Glenfiddich 12y,"€19,50","€25,35",0,"€0,00"
100 PROOF,Longrow,"€43,00","€55,90",0,"€0,00"
12y,Kilkerran,"€42,00","€54,60",0,"€0,00"
14y,Fillioux,"€45,00","€58,50",0,"€0,00"
16y,Kilkerran,"€55,00","€71,50",0,"€0,00"
16y BATCH #4,Kilkerran,"€70,00","€91,00",0,"€0,00"
18 LUNE,Marzadro,"€18,00","€23,40",18,"€324,00"
20y,Barros,"€38,00","€49,40",0,"€0,00"
21y 2023 ED.,Longrow,"€300,00","€390,00",1,"€300,00"
23y,Zacapa,"€36,50","€47,45",6,"€219,00"
30y,Barros,"€55,00","€71,50",0,"€0,00"
8y CASK STRENGTH PORTO #7,Kilkerran,"€36,00","€46,80",0,"€0,00"
8y CASK STRENGTH SHERRY #6,Kilkerran,"€36,00","€46,80",0,"€0,00"
A NIGHT ON EARTH,Macallan,"€110,00","€143,00",1,"€110,00"
ABBAGNAC (GRAPPA TRAMINER INVECCHIATA),Abb.Novacella,"€15,80","€20,54",0,"€0,00"
ABRACADABRA,Jefferson,"€17,00","€22,10",0,"€0,00"
ABSOLUTIO,Foursquare,"€105,00","€136,50",1,"€105,00"
ACETO BALSAMICO,Agazzotti,"€10,00","€13,00",0,"€0,00"
ALBICOCCA ACQUAVITE,Pojer,"€18,00","€23,40",0,"€0,00"
ALBICOCCHE,Capovilla,"€43,00","€55,90",0,"€0,00"
ALCHERMES,Beccaris,"€11,00","€14,30",0,"€0,00"
ALKERMES,Il Mallo,"€16,20","€21,06",0,"€0,00"
ALL MALT,Nikka,"€26,36","€34,27",0,"€0,00"
ALL MALT 2016,Nikka,"€26,39","€34,31",0,"€0,00"
AMARETTO,Disaronno,"€7,95","€10,34",0,"€0,00"
AMARO,Camatti,"€11,50","€14,95",0,"€0,00"
AMARO,Cardamaro,"€13,50","€17,55",0,"€0,00"
AMARO,Dente Del Leone,"€20,00","€26,00",0,"€0,00"
AMARO,Hermite,"€15,50","€20,15",0,"€0,00"
AMARO,Jefferson,"€18,50","€24,05",30,"€555,00"
AMARO,Kahlúa,"€9,10","€11,83",0,"€0,00"
AMARO,La Miscela Al 30,"€25,00","€32,50",0,"€0,00"
AMARO,Manfredi,"€12,50","€16,25",0,"€0,00"
