NOME,PRODUTTORE,ANNO,PROVENIENZA,ACQUISTO,VENDITA,Q.tà,MAGAZZINO
"""I GERMOGLI"" PINOT NERO VIN. BIANCOMONSUPELLO",Monsupello,,LOMBARDIA,"€7,00","€9,10",0,"€0,00"
120 LIMITED EDITION,Gardet,,CHAMPAGNE,"€65,00","€84,50",0,"€0,00"
160 ANNI ROSSO,Ippolito,,CALABRIA,"€13,50","€17,55",12,"€162,00"
448 SLM,Girlan,,ALTO ADIGE,"€4,10","€5,33",0,"€0,00"
5 PUTONES,Label Blu,,UNGHERIA,"€25,00","€32,50",0,"€0,00"
50&50,Avignonesi,,TOSCANA,"€77,00","€100,10",0,"€0,00"
50&50,Avignonesi,2013,TOSCANA,"€65,00","€84,50",0,"€0,00"
50&50 MAGNUM,Avignonesi,2011,TOSCANA,"€144,00","€187,20",0,"€0,00"
6 PUTONES,Label Gold,,UNGHERIA,"€39,50","€51,35",0,"€0,00"
738 TARD,Jacquesson,,CHAMPAGNE,"€65,00","€84,50",0,"€0,00"
739 DEGORGEMENT TARDIF,Jacquesson,,CHAMPAGNE,"€67,80","€88,14",0,"€0,00"
A ROSATO ALDOBRANDESCA,Antinori,,TOSCANA,"€18,00","€23,40",0,"€0,00"
ABBAZIA DI ROSAZZO,Felluga L.,,FRIULI VENEZIA GIULIA,"€33,00","€42,90",0,"€0,00"
ABBAZIA DI ROSAZZO MAGNUM,Felluga L.,,FRIULI VENEZIA GIULIA,"€39,00","€50,70",0,"€0,00"
ACETO BALSAMICO,Compagnia Del Montale,,EMILIA ROMAGNA,"€13,50","€17,55",0,"€0,00"
ACETO BIANCO E ROSSO,Canevel,,VENETO,"€1,40","€1,82",0,"€0,00"
ACETO D'UVA,Sirk,,FRIULI VENEZIA GIULIA,"€10,00","€13,00",0,"€0,00"
ACETO DI VINO,Sirk,,FRIULI VENEZIA GIULIA,"€7,00","€9,10",0,"€0,00"
ACETO DI VINO PEPPOLI,Antinori,,TOSCANA,"€4,70","€6,11",0,"€0,00"
ACHELO SYRAH MAGNUM LEGNO,Antinori,,TOSCANA,"€15,50","€20,15",0,"€0,00"
ACININOBILI,Maculan,,VENETO,"€42,50","€55,25",0,"€0,00"
ADEODATO,Monteschiavo,,MARCHE,"€14,00","€18,20",0,"€0,00"
AEDOTO,Monteschiavo,,MARCHE,"€13,00","€16,90",0,"€0,00"
AGLIANICO,Boccella Rosa,,BASILICATA,"€4,00","€5,20",0,"€0,00"
AGLIANICO,Tenuta Fontana,,CAMPANIA,"€8,50","€11,05",0,"€0,00"
AGLIANICO,Vigne Sannite,,CAMPANIA,"€2,20","€2,86",0,"€0,00"
AGLIANICO,La Rivolta,2003,CAMPANIA,"€5,40","€7,02",0,"€0,00"
AGLIANICO BENEVENTANO,Aia Colombi,,CAMPANIA,"€8,20","€10,66",0,"€0,00"
AGLIANICO CALIBRO,Paternoster,,BASILICATA,"€19,00","€24,70",0,"€0,00"
AGLIANICO CASELLE,D'Angelo,,BASILICATA,"€0,00","€0,00",0,"€0,00"
AGLIANICO CONTADO DI MAJO 09,Di Majo Norante,,MOLISE,"€7,40","€9,62",12,"€88,80"
AGLIANICO CORE,Montevetrano,,CAMPANIA,"€10,70","€13,91",6,"€64,20"
AGLIANICO DEL VULTURE,Molettieri,,BASILICATA,"€25,92","€33,70",0,"€0,00"
AGLIANICO DEL VULTURE,Re Manfredi,,BASILICATA,"€12,40","€16,12",0,"€0,00"
AGLIANICO DEL VULTURE,D'Angelo,2006,BASILICATA,"€8,80","€11,44",0,"€0,00"
AGLIANICO DEL VULTURE,D'Angelo,2008,BASILICATA,"€5,50","€7,15",0,"€0,00"
AGLIANICO DEL VULTURE DON ANSELMO,Paternoster,2004,BASILICATA,"€26,00","€33,80",12,"€312,00"
AGLIANICO DEL VULTURE LA FIRMA,Cant.Notaio,,BASILICATA,"€21,00","€27,30",6,"€126,00"
AGLIANICO DEL VULTURE REPERTORIO,Cant.Notaio,,BASILICATA,"€10,70","€13,91",0,"€0,00"
AGLIANICO DI BENEVENTO IGP,La Guardiense,,CAMPANIA,"€2,40","€3,12",0,"€0,00"
AGLIANICO NIBBIO GRGIO,Cantina Di Palma,,BASILICATA,"€12,60","€16,38",0,"€0,00"
AGLIANICO ROTONDO,Paternoster,,BASILICATA,"€19,50","€25,35",0,"€0,00"
AGLIANICO SELEZIONE,La Guardiense,,CAMPANIA,"€5,50","€7,15",0,"€0,00"
AGLIANICO VULTURE,Fucci,,BASILICATA,"€17,00","€22,10",0,"€0,00"
AGLIANICO VULTURE MAGNUM,Fucci,,BASILICATA,"€38,00","€49,40",0,"€0,00"
AGRETTO,Montevertine,,TOSCANA,"€13,00","€16,90",0,"€0,00"
AGRICANTO RABOSO,Paladin,,VENETO,"€7,50","€9,75",0,"€0,00"
AJANA,Deiana,,SARDEGNA,"€22,20","€28,86",0,"€0,00"
ALA,Duca Di Salaparuta,,SICILIA,"€8,50","€11,05",0,"€0,00"
ALASTRO,Planeta,,SICILIA,"€6,00","€7,80",0,"€0,00"
ALBANA ANCESTRALE,Tre Monti,,EMILIA ROMAGNA,"€5,30","€6,89",0,"€0,00"
ALBANA DI ROMAGNA,Merlotta,,EMILIA ROMAGNA,"€7,50","€9,75",0,"€0,00"
ALBANA DI ROMAGNA,Tre Monti,,EMILIA ROMAGNA,"€4,80","€6,24",0,"€0,00"
ALBANA DI ROMAGNA DOLCE,Calonga,,EMILIA ROMAGNA,"€4,00","€5,20",0,"€0,00"
ALBANA DI ROMAGNA PASSITO,Tre Monti,,EMILIA ROMAGNA,"€11,00","€14,30",0,"€0,00"
ALBANA DI ROMAGNA TRIDENTE,Merlotta,,EMILIA ROMAGNA,"€11,50","€14,95",6,"€69,00"
ALBANA DOLCE SPUMANTE,Spalletti,,EMILIA ROMAGNA,"€5,00","€6,50",0,"€0,00"
ALBANA MAGNUM,Merlotta,,EMILIA ROMAGNA,"€18,00","€23,40",0,"€0,00"
ALBANA PASSITO,Altavita,,EMILIA ROMAGNA,"€8,50","€11,05",0,"€0,00"
ALBANA PASSITO,Ferrucci,,EMILIA ROMAGNA,"€12,00","€15,60",0,"€0,00"
ALBANA PASSITO,Merlotta,,EMILIA ROMAGNA,"€11,90","€15,47",6,"€71,40"
ALBANA PASSITO,Tenuta Uccellina,,EMILIA ROMAGNA,"€11,30","€14,69",0,"€0,00"
ALBANA PASSITO,Terra Di Brisighella,,EMILIA ROMAGNA,"€8,80","€11,44",78,"€686,40"
ALBANA UVA FLAVA,Sabbioni,,EMILIA ROMAGNA,"€8,00","€10,40",0,"€0,00"
ALBERELLO BORDOLESE,Grattamacco,,TOSCANA,"€19,00","€24,70",0,"€0,00"
ALBRIZZI,Cantine Due Palme,,PUGLIA,"€5,80","€7,54",0,"€0,00"
ALCAMO,Cusumano,,SICILIA,"€2,70","€3,51",0,"€0,00"
ALCAMO CALAVENTANO,Firriato,,SICILIA,"€3,80","€4,94",0,"€0,00"
ALEATICO,Tenute Rubino,2006,PUGLIA,"€7,50","€9,75",0,"€0,00"
ALEATICO DELL'ELBA,Mola,,TOSCANA,"€13,50","€17,55",0,"€0,00"
ALERAN BLANC DE BLANC,Aleran,,CHAMPAGNE,"€21,10","€27,43",12,"€253,20"
ALERAN BRUT,Aleran,,CHAMPAGNE,"€16,30","€21,19",90,"€1.467,00"
ALERAN BRUT JEROBOAM,Aleran,,CHAMPAGNE,"€110,00","€143,00",2,"€220,00"
ALERAN BRUT MAGNUM,Aleran,,CHAMPAGNE,"€37,50","€48,75",6,"€225,00"
ALERAN PINOT NERO,Aleran,,CHAMPAGNE,"€18,20","€23,66",24,"€436,80"
ALEXANDRA ROSE,Laurent Perrier,,CHAMPAGNE,"€80,81","€105,05",0,"€0,00"
ALGHERO CAGNULARI,La Palma,,SARDEGNA,"€6,70","€8,71",0,"€0,00"
ALIONZA,Gradizzolo,,EMILIA ROMAGNA,"€5,00","€6,50",0,"€0,00"
ALIOTTO PODERNOVO,Ferrari,,TOSCANA,"€5,30","€6,89",0,"€0,00"
ALLEGRINI RIPASSA CORTEGIARA,Allegrini,,VENETO,"€7,25","€9,43",0,"€0,00"
ALLUVION ROOSE,Beringer,1995,CALIFORNIA,"€35,00","€45,50",0,"€0,00"
ALMANERA ROSSO IGT,Fatascia,,SICILIA,"€4,90","€6,37",0,"€0,00"
ALOUETTE HERMITAGE,Chapoutier,,FRANCIA,,"€0,00",0,"€0,00"
ALOXE CORTON,Goichot,,FRANCIA,"€25,00","€32,50",0,"€0,00"
ALTA LANGA,Cavallero,,PIEMONTE,"€14,00","€18,20",0,"€0,00"
ALTA LANGA,Deltetto,,PIEMONTE,"€13,00","€16,90",0,"€0,00"
ALTA LANGA,Sebaste,,PIEMONTE,"€15,00","€19,50",0,"€0,00"
ALTA LANGA,Serafino,2019,PIEMONTE,"€15,00","€19,50",48,"€720,00"
ALTA LANGA EXTRA BRUT,Capramarco,,PIEMONTE,"€16,50","€21,45",42,"€693,00"
"ALTA LANGA EXTRA BRUT ""PARCELLAIRE""",Serafino,,PIEMONTE,"€17,90","€23,27",24,"€429,60"
ALTA LANGA MILLESIMATA,Giribaldi,2014,PIEMONTE,"€13,30","€17,29",0,"€0,00"
ALTA LANGA NATURE,Bel Colle,,PIEMONTE,"€14,00","€18,20",0,"€0,00"
ALTA LANGA ROSÈ SPUMANTE,Berutti Paolo,,PIEMONTE,"€14,60","€18,98",0,"€0,00"
ALTA LUNGA SPUMANTE,Berutti Paolo,,PIEMONTE,"€13,60","€17,68",0,"€0,00"
ALTAVILLA BIANCO GRILLO,Firriato,,SICILIA,"€5,00","€6,50",0,"€0,00"
ALTAVILLA SHIRAZ,Firriato,,SICILIA,"€6,00","€7,80",0,"€0,00"
ALTEMASI,Cavit,,TRENTINO,"€10,45","€13,59",30,"€313,50"
ALTEMASI MAGNUM,Cavit,,TRENTINO,"€21,60","€28,08",3,"€64,80"
ALTENI DI BRASSICA,Gaja,2020,PIEMONTE,"€105,00","€136,50",2,"€210,00"
ALTENI DI BRASSICA,Gaja,2022,PIEMONTE,"€95,00","€123,50",2,"€190,00"
ALTICELLI FIANO,Cantele,,PUGLIA,"€4,45","€5,79",0,"€0,00"
ALTO ADIGE PAS DOSÈ,Kettmaier,,ALTO ADIGE,"€22,65","€29,45",0,"€0,00"
ALTO ADIGE RISERVA EXTRABRUT,Kettmaier,,ALTO ADIGE,"€25,50","€33,15",0,"€0,00"
ALTO VANTO MERLOT,Aldrovandi,2018,EMILIA ROMAGNA,"€10,95","€14,24",12,"€131,40"
ALTROVINO,Duemani,,TOSCANA,"€19,50","€25,35",0,"€0,00"
ALZARI,Coffele,,VENETO,"€7,65","€9,95",0,"€0,00"
ALZERO,Quintarelli,2008,VENETO,"€173,00","€224,90",0,"€0,00"
ALZERO,Quintarelli,2016,VENETO,"€185,00","€240,50",2,"€370,00"
AMARONE,Monte Dall'Ora,,VENETO,"€26,50","€34,45",0,"€0,00"
AMARONE,Nicolis,,VENETO,"€19,50","€25,35",0,"€0,00"
AMARONE,Secondo Marco,,VENETO,"€29,10","€37,83",0,"€0,00"
AMARONE,Veronese Beatrice,,VENETO,"€16,50","€21,45",30,"€495,00"
AMARONE,Vigneti Ettore,,VENETO,"€26,60","€34,58",0,"€0,00"
AMARONE,Zardini,,VENETO,"€20,00","€26,00",0,"€0,00"
AMARONE,Begali,,VENETO,"€19,00","€24,70",0,"€0,00"
AMARONE,Cà Rugate,,VENETO,"€21,00","€27,30",0,"€0,00"
AMARONE,Colline Dei Ciliegi,,VENETO,"€20,50","€26,65",0,"€0,00"
AMARONE,Cottini,,VENETO,"€13,00","€16,90",0,"€0,00"
AMARONE,Le Guaite,,VENETO,"€38,25","€49,73",0,"€0,00"
AMARONE,Le Ragose,,VENETO,"€20,00","€26,00",0,"€0,00"
AMARONE,Marconi,,VENETO,"€19,10","€24,83",0,"€0,00"
AMARONE,Tommasi,,VENETO,"€24,10","€31,33",18,"€433,80"
AMARONE,Torre D'Orti,,VENETO,"€19,00","€24,70",0,"€0,00"
AMARONE,Musella,2006,VENETO,"€13,90","€18,07",0,"€0,00"
AMARONE,Trabucchi,2008,VENETO,"€30,00","€39,00",0,"€0,00"
AMARONE,Tedeschi,2015,VENETO,"€16,60","€21,58",0,"€0,00"
AMARONE,Bertani,1967,VENETO,"€117,00","€152,10",0,"€0,00"
AMARONE,Quintarelli,2000,VENETO,"€210,00","€273,00",0,"€0,00"
AMARONE,Dal Forno,2004,VENETO,"€160,00","€208,00",0,"€0,00"
AMARONE,Quintarelli,2007,VENETO,"€127,00","€165,10",0,"€0,00"
AMARONE,Quintarelli,2009,VENETO,"€136,00","€176,80",0,"€0,00"
AMARONE,Dal Forno,2011,VENETO,"€170,00","€221,00",0,"€0,00"
AMARONE,Quintarelli,2011,VENETO,"€140,00","€182,00",0,"€0,00"
AMARONE,Quintarelli,2012,VENETO,"€145,00","€188,50",0,"€0,00"
AMARONE,Quintarelli,2013,VENETO,"€140,00","€182,00",0,"€0,00"
AMARONE,Quintarelli,2015,VENETO,"€158,00","€205,40",0,"€0,00"
AMARONE,Quintarelli,2016,VENETO,"€160,00","€208,00",0,"€0,00"
AMARONE,Quintarelli,2017,VENETO,"€160,00","€208,00",3,"€480,00"
AMARONE,Brigaldara,2012,VENETO,"€19,00","€24,70",0,"€0,00"
AMARONE,Musella,2004,VENETO,"€17,50","€22,75",0,"€0,00"
"AMARONE ""STROPA""",Monte Dall'Ora,,VENETO,"€45,00","€58,50",0,"€0,00"
AMARONE CÀ COATO,Antolini,,VENETO,"€22,00","€28,60",0,"€0,00"
AMARONE CAMPO DEI GIGLI,S.Antonio,2017,VENETO,"€26,00","€33,80",0,"€0,00"
AMARONE CAMPOMASUA,Venturini,,VENETO,"€20,50","€26,65",0,"€0,00"
AMARONE CASE VECIE,Brigaldara,2004,VENETO,"€25,00","€32,50",0,"€0,00"
AMARONE CASTAGNEDI,S.Antonio,,VENETO,"€17,00","€22,10",0,"€0,00"
AMARONE CL.,Bertani,2013,VENETO,"€65,00","€84,50",0,"€0,00"
