CATEGORIA,NOME ,PRODUTTORE,ANNO,PROVENIENZA,FORNITORE,ACQUISTO,VENDITA,Q.tà,MAGAZZINO,,,,,,,,
,Ciro,A Vita,,Calabria,,"€ 10,10","€ 13,13",0,"€ 0,00",,,,,,,,
,Ciro Ris,A Vita,,Calabria,,"€ 16,20","€ 21,06",0,"€ 0,00",,,,,,,,
,Brut Rosato,Abate Nero,,Alto Adige,,"€ 14,85","€ 19,31",0,"€ 0,00",,,,,,,,
,Nature Dosage Zero,Abate Nero,,Alto Adige,,"€ 14,90","€ 19,37",0,"€ 0,00",,,,,,,,
,Brut magnum,Abate Nero ,,Alto Adige,,"€ 27,80","€ 36,14",0,"€ 0,00",,,,,,,,
,Riserva Brut,Abate Nero ,,Alto Adige,,"€ 21,00","€ 27,30",0,"€ 0,00",,,,,,,,
,Dies (moscato giallo),Abb.Novacella,,Alto Adige,,"€ 4,80","€ 6,24",0,"€ 0,00",,,,,,,,
,Gewurztraminer ,Abb.Novacella,,Alto Adige,,"€ 9,00","€ 11,70",36,"€ 324,00",,,,,,,,
,Insolitus Ton,Abb.Novacella,,Alto Adige,,"€ 14,50","€ 18,85",0,"€ 0,00",,,,,,,,
,Kerner,Abb.Novacella,,Alto Adige,,"€ 8,50","€ 11,05",48,"€ 408,00",,,,,,,,
,Kerner prepositus '16,Abb.Novacella,,Alto Adige,,"€ 12,00","€ 15,60",24,"€ 288,00",,,,,,,,
,Moscato Rosa Praepositus,Abb.Novacella,,Alto Adige,,"€ 14,10","€ 18,33",0,"€ 0,00",,,,,,,,
,Muller-Thurgau ,Abb.Novacella,,Alto Adige,,"€ 6,05","€ 7,87",24,"€ 145,20",,,,,,,,
,Riesling  ,Abb.Novacella,,Alto Adige,,"€ 8,50","€ 11,05",30,"€ 255,00",,,,,,,,
,Riesling Prepositus ,Abb.Novacella,,Alto Adige,,"€ 15,50","€ 20,15",0,"€ 0,00",,,,,,,,
,S.Maddalena '12,Abb.Novacella,,Alto Adige,,"€ 5,10","€ 6,63",0,"€ 0,00",,,,,,,,
,Sylvaner ,Abb.Novacella,,Alto Adige,,"€ 8,50","€ 11,05",24,"€ 204,00",,,,,,,,
,Sylvaner  Praepositus ,Abb.Novacella,,Alto Adige,,"€ 12,00","€ 15,60",0,"€ 0,00",,,,,,,,
,Veltliner ,Abb.Novacella,,Alto Adige,,"€ 7,60","€ 9,88",0,"€ 0,00",,,,,,,,
,Veltliner Prepositus ,Abb.Novacella,,Alto Adige,,"€ 8,70","€ 11,31",0,"€ 0,00",,,,,,,,
,Etna Rosso,Abbate Roberto,,Sicilia,,"€ 22,00","€ 28,60",0,"€ 0,00",,,,,,,,
,Barbaresco,Abbona,,Piemonte,,"€ 22,00","€ 28,60",12,"€ 264,00",,,,,,,,
,Barbaresco Marcarini ,Abbona,,Piemonte,,"€ 27,00","€ 35,10",,,,,,,,,,
,Barbaresco riserva,Abbona,,Piemonte,,"€ 27,00","€ 35,10",12,"€ 324,00",,,,,,,,
,Barbera d'Alba,Abbona,,Piemonte,,"€ 12,00","€ 15,60",30,"€ 360,00",,,,,,,,
,Barolo 2007,Abbona,,Piemonte,,"€ 22,00","€ 28,60",0,"€ 0,00",,,,,,,,
,Docetto Dogliani,Abbona,,Piemonte,,"€ 7,20","€ 9,36",0,"€ 0,00",,,,,,,,
,Nebbiolo d'Alba,Abbona,,Piemonte,,"€ 7,20","€ 9,36",0,"€ 0,00",,,,,,,,
,Papà Celso '22,Abbona,,Piemonte,,"€ 10,20","€ 13,26",12,"€ 122,40",,,,,,,,
,Spumante Pinot Nero ,Abbona,,Piemonte,,"€ 8,80","€ 11,44",0,"€ 0,00",,,,,,,,
,Chardonnay,Abraham ,,Alto Adige,,"€ 20,90","€ 27,17",0,"€ 0,00",,,,,,,,
,Pino Nero,Abraham ,,Alto Adige,,"€ 24,70","€ 32,11",0,"€ 0,00",,,,,,,,
,Pinot Bianco Art,Abraham ,,Alto Adige,,"€ 34,90","€ 45,37",0,"€ 0,00",,,,,,,,
,Pinot Bianco Weinberg,Abraham ,,Alto Adige,,"€ 18,40","€ 23,92",6,"€ 110,40",,,,,,,,
,Pinot Nero Art ,Abraham ,,Alto Adige,,"€ 45,20","€ 58,76",0,"€ 0,00",,,,,,,,
,Upupa Bianco,Abraham ,,Alto Adige,,"€ 14,60","€ 18,98",6,"€ 87,60",,,,,,,,
,Brut,Abrami ,,Lombardia,,"€ 12,00","€ 15,60",0,"€ 0,00",,,,,,,,
,Saten,Abrami ,,Lombardia,,"€ 15,00","€ 19,50",0,"€ 0,00",,,,,,,,
,Grignolino Vecchie Vigne ,Accornero,,Piemonte,,"€ 22,00","€ 28,60",0,"€ 0,00",,,,,,,,
,Cartizze Adami,Adami,,Veneto,,"€ 13,60","€ 17,68",0,"€ 0,00",,,,,,,,
,Prosecco Adami dei casel,Adami,,Veneto,,"€ 7,60","€ 9,88",24,"€ 182,40",,,,,,,,
,Prosecco brut bosco di ciga,Adami,,Veneto,,"€ 7,60","€ 9,88",66,"€ 501,60",,,,,,,,
,Prosecco brut mezze,Adami,,Veneto,,"€ 3,50","€ 4,55",0,"€ 0,00",,,,,,,,
,Prosecco Giardino,Adami,,Veneto,,"€ 7,50","€ 9,75",0,"€ 0,00",,,,,,,,
,Sagrantino ,Adanti,,Umbria,,"€ 13,50","€ 17,55",0,"€ 0,00",,,,,,,,
,Barbaresco Basarin,Adriano Marco e vittorio,,Piemonte,,"€ 18,00","€ 23,40",0,"€ 0,00",,,,,,,,
,Champagne mineral,Agrapart,,Champagne,,"€ 104,60","€ 135,98",2,"€ 209,20",,,,,,,,
,Les 7 crus ,Agrapart,,Champagne,,"€ 41,65","€ 54,15",0,"€ 0,00",,,,,,,,
,Terroirs,Agrapart,,Champagne,,"€ 65,50","€ 85,15",4,"€ 262,00",,,,,,,,
,Barrua,Agripunica,,Sardegna,,"€ 22,20","€ 28,86",0,"€ 0,00",,,,,,,,
,Aglianico Beneventano ,Aia Colombi,,Campania,,"€ 8,20","€ 10,66",0,"€ 0,00",,,,,,,,
,Sorugo,Aia vecchia,,Toscana,,"€ 16,00","€ 20,80",0,"€ 0,00",,,,,,,,
,Vermentino bolgheri,Aia vecchia,,Toscana,,"€ 4,10","€ 5,33",0,"€ 0,00",,,,,,,,
,Lugana prestige,Al Provenza ,,Lombardia,,"€ 5,50","€ 7,15",0,"€ 0,00",,,,,,,,
,Lugana vigna molino,Al Provenza ,,Lombardia,,"€ 6,50","€ 8,45",0,"€ 0,00",,,,,,,,
,Alto Vanto Merlot '18,Aldrovandi,,Emilia Romagna,,"€ 10,95","€ 14,24",18,"€ 197,10",,,,,,,,
,Pignoletto ,Aldrovandi,,Emilia Romagna,,"€ 8,90","€ 11,57",18,"€ 160,20",,,,,,,,
,Rosso Cabernet ,Aldrovandi,,Emilia Romagna,,"€ 10,95","€ 14,24",0,"€ 0,00",,,,,,,,
,Bolgheri ,Aldrovandi,,Toscana,,"€ 20,00","€ 26,00",12,"€ 240,00",,,,,,,,
,Aleran Blanc de Blanc ,Aleran,,Champagne,,"€ 21,10","€ 27,43",78,"€ 1.645,80",,,,,,,,
,Aleran Brut,Aleran,,Champagne,,"€ 16,30","€ 21,19",192,"€ 3.129,60",,,,,,,,
,Aleran Brut Jeroboam,Aleran,,Champagne,,"€ 110,00","€ 143,00",2,"€ 220,00",,,,,,,,
,Aleran Brut Magnum,Aleran,,Champagne,,"€ 37,50","€ 48,75",6,"€ 225,00",,,,,,,,
,Aleran Pinot Nero,Aleran,,Champagne,,"€ 18,20","€ 23,66",6,"€ 109,20",,,,,,,,
,Blanc de Blanc Magnum,Aleran,,Champagne,,"€ 41,50","€ 53,95",0,"€ 0,00",,,,,,,,
,Barolo Gramolere,Alessandria,,Piemonte,,"€ 37,00","€ 48,10",6,"€ 222,00",,,,,,,,
,Barolo Monvigliero,Alessandria,,Piemonte,,"€ 48,00","€ 62,40",0,"€ 0,00",,,,,,,,
,Barolo San Lorenzo,Alessandria,,Piemonte,,"€ 37,00","€ 48,10",6,"€ 222,00",,,,,,,,
,Nebbiolo,Alessandria,,Piemonte,,"€ 12,00","€ 15,60",0,"€ 0,00",,,,,,,,
,Sondraia bolgheri,Allegrini,,Toscana,,"€ 15,00","€ 19,50",0,"€ 0,00",,,,,,,,
,Allegrini Ripassa Cortegiara,Allegrini,,Veneto,,"€ 7,25","€ 9,43",0,"€ 0,00",,,,,,,,
,Amarone Cortegiara,Allegrini,,Veneto,,"€ 18,40","€ 23,92",0,"€ 0,00",,,,,,,,
,Amarone Cortegiara Magnum,Allegrini,,Veneto,,"€ 30,00","€ 39,00",0,"€ 0,00",,,,,,,,
,Amarone della Valpolicella '21,Allegrini,,Veneto,,"€ 35,00","€ 45,50",18,"€ 630,00",,,,,,,,
,La Grola ,Allegrini,,Veneto,,"€ 18,00","€ 23,40",18,"€ 324,00",,,,,,,,
,La Poja ,Allegrini,,Veneto,,"€ 50,00","€ 65,00",2,"€ 100,00",,,,,,,,
,Palazzo della Torre,Allegrini,,Veneto,,"€ 9,20","€ 11,96",0,"€ 0,00",,,,,,,,
,Recioto ,Allegrini,,Veneto,,"€ 14,00","€ 18,20",0,"€ 0,00",,,,,,,,
,arneis,Almondo Giovanni,,Piemonte,,"€ 7,40","€ 9,62",0,"€ 0,00",,,,,,,,
,Roero Bric Valdiana ,Almondo Giovanni,,Piemonte,,"€ 11,00","€ 14,30",0,"€ 0,00",,,,,,,,
,Barolo Vigneto Arborina '00,Altare Elio,,Piemonte,,"€ 20,00","€ 26,00",0,"€ 0,00",,,,,,,,
,Langhe Villa'96,Altare Elio,,Piemonte,,"€ 35,00","€ 45,50",0,"€ 0,00",,,,,,,,
,Albana Passito,Altavita,,Emilia Romagna,,"€ 8,50","€ 11,05",0,"€ 0,00",,,,,,,,
,Sangiovese di R Evoca,Altavita,,Emilia Romagna,,"€ 4,30","€ 5,59",0,"€ 0,00",,,,,,,,
